"ID","Name","Department","Salary"
"4","Yogesh","HR","778797"
"11","Ankit","Development","750000"
"5","Shubham","Development","720000"
"1","Deepanshu","Development","650000"
"14","Vikas","Sales","620000"
"8","Gagan","Development","600000"
"7","Survesh","Sales","580000"
"6","Karan","Marketing","540000"
"13","Mohit","Marketing","530000"
"10","Nikhil","Operations","500000"
"15","Prateek","Finance","490000"
"9","Aman","Finance","450000"
"3","Raj","HR","87868"
"2","Purvansh","HR","87659"
"12","Saurabh","HR","87000"
